axis,basis,basis_axes,layer,depth,resid_frac
eval_v2,others,story_v2_1k+persona_v2+harm_v2,27,0.6429,0.9808020713525581
eval_v2,others,story_v2_1k+persona_v2+harm_v2,28,0.6667,0.9829711196150135
eval_v2,others,story_v2_1k+persona_v2+harm_v2,29,0.6905,0.9823681153322738
eval_v2,others,story_v2_1k+persona_v2+harm_v2,30,0.7143,0.9807467512875693
eval_v2,others,story_v2_1k+persona_v2+harm_v2,31,0.7381,0.9792968461817747
eval_v2,others,story_v2_1k+persona_v2+harm_v2,32,0.7619,0.9814480246458284
eval_v2,others,story_v2_1k+persona_v2+harm_v2,33,0.7857,0.9814615362864414
eval_v2,others,story_v2_1k+persona_v2+harm_v2,34,0.8095,0.9813085388603116
eval_v2,others,story_v2_1k+persona_v2+harm_v2,35,0.8333,0.9814270079863212
eval_v2,others,story_v2_1k+persona_v2+harm_v2,36,0.8571,0.9782306757559597
eval_v2,others,story_v2_1k+persona_v2+harm_v2,37,0.881,0.9810588409026356
eval_v2,others,story_v2_1k+persona_v2+harm_v2,38,0.9048,0.9828301513022222
eval_v2,others,story_v2_1k+persona_v2+harm_v2,39,0.9286,0.9855986486323586
eval_v2,others,story_v2_1k+persona_v2+harm_v2,40,0.9524,0.9862426686720204
eval_v2,others,story_v2_1k+persona_v2+harm_v2,41,0.9762,0.9791523229664992
eval_v2,others,story_v2_1k+persona_v2+harm_v2,42,1.0,0.9847179206147887
eval_v2,story_v2_1k,story_v2_1k,0,0.0,0.0
eval_v2,story_v2_1k,story_v2_1k,1,0.0238,0.805621394129418
eval_v2,story_v2_1k,story_v2_1k,2,0.0476,0.9268919633491123
eval_v2,story_v2_1k,story_v2_1k,3,0.0714,0.911365906166057
eval_v2,story_v2_1k,story_v2_1k,4,0.0952,0.9416840833653074
eval_v2,story_v2_1k,story_v2_1k,5,0.119,0.9742832644696289
eval_v2,story_v2_1k,story_v2_1k,6,0.1429,0.9703815847217595
eval_v2,story_v2_1k,story_v2_1k,7,0.1667,0.9840787598146272
eval_v2,story_v2_1k,story_v2_1k,8,0.1905,0.985278939187477
eval_v2,story_v2_1k,story_v2_1k,9,0.2143,0.9983598534734434
eval_v2,story_v2_1k,story_v2_1k,10,0.2381,0.998972305410823
eval_v2,story_v2_1k,story_v2_1k,11,0.2619,0.9993833335583117
eval_v2,story_v2_1k,story_v2_1k,12,0.2857,0.9986905204980433
eval_v2,story_v2_1k,story_v2_1k,13,0.3095,0.9997686135237936
eval_v2,story_v2_1k,story_v2_1k,14,0.3333,0.9998296147709983
eval_v2,story_v2_1k,story_v2_1k,15,0.3571,0.9999067989084977
eval_v2,story_v2_1k,story_v2_1k,16,0.381,0.9999919997354908
eval_v2,story_v2_1k,story_v2_1k,17,0.4048,0.9994223512486109
eval_v2,story_v2_1k,story_v2_1k,18,0.4286,0.9998389145633889
eval_v2,story_v2_1k,story_v2_1k,19,0.4524,0.9999410831833563
eval_v2,story_v2_1k,story_v2_1k,20,0.4762,0.9993312120474235
eval_v2,story_v2_1k,story_v2_1k,21,0.5,0.995285213576748
eval_v2,story_v2_1k,story_v2_1k,22,0.5238,0.9978352313903189
eval_v2,story_v2_1k,story_v2_1k,23,0.5476,0.9967342603793238
eval_v2,story_v2_1k,story_v2_1k,24,0.5714,0.9967511539862387
eval_v2,story_v2_1k,story_v2_1k,25,0.5952,0.9973592902177326
eval_v2,story_v2_1k,story_v2_1k,26,0.619,0.9950117537935759
eval_v2,story_v2_1k,story_v2_1k,27,0.6429,0.9968297568654333
eval_v2,story_v2_1k,story_v2_1k,28,0.6667,0.9973321700235223
eval_v2,story_v2_1k,story_v2_1k,29,0.6905,0.9960833923084809
eval_v2,story_v2_1k,story_v2_1k,30,0.7143,0.9959547668814835
eval_v2,story_v2_1k,story_v2_1k,31,0.7381,0.9950349910935067
eval_v2,story_v2_1k,story_v2_1k,32,0.7619,0.9934183277522125
eval_v2,story_v2_1k,story_v2_1k,33,0.7857,0.9952303856969263
eval_v2,story_v2_1k,story_v2_1k,34,0.8095,0.9948000027418643
eval_v2,story_v2_1k,story_v2_1k,35,0.8333,0.9946245290619536
eval_v2,story_v2_1k,story_v2_1k,36,0.8571,0.9951515258315444
eval_v2,story_v2_1k,story_v2_1k,37,0.881,0.994940505190909
eval_v2,story_v2_1k,story_v2_1k,38,0.9048,0.9944098997170664
eval_v2,story_v2_1k,story_v2_1k,39,0.9286,0.9948224636164408
eval_v2,story_v2_1k,story_v2_1k,40,0.9524,0.9937812105759883
eval_v2,story_v2_1k,story_v2_1k,41,0.9762,0.9868991346864482
eval_v2,story_v2_1k,story_v2_1k,42,1.0,0.9872056006150589
