axis_a,axis_b,layer,depth,cos,reliability_a,reliability_b,cos_disattenuated
persona_v2,harm_v2,6,0.1429,0.08087173124278917,0.9955779245178383,0.9875484794506421,0.08156050362932503
persona_v2,harm_v2,7,0.1667,0.064971006811643,0.995632126184052,0.9880341904367329,0.0655064643292514
persona_v2,harm_v2,8,0.1905,0.10563281484152924,0.9957567423958457,0.9865417608723126,0.10657724458561005
persona_v2,harm_v2,9,0.2143,0.11164211081352046,0.996522552926151,0.9868755972218998,0.11257793236385095
persona_v2,harm_v2,10,0.2381,0.12874428575820768,0.9966554352885738,0.9866430879570529,0.12983010358368716
persona_v2,harm_v2,11,0.2619,0.09027282896281852,0.9960974992231845,0.9892651159247442,0.0909389174885153
persona_v2,harm_v2,12,0.2857,0.049575513329179505,0.996678614827087,0.9893204647196578,0.049925354052357
persona_v2,harm_v2,13,0.3095,0.05593520321474283,0.9964132398696809,0.9898497206928295,0.05632235984676807
persona_v2,harm_v2,14,0.3333,0.05035799686526461,0.995678918693232,0.9931984582927545,0.050639658947324
persona_v2,harm_v2,15,0.3571,0.016670993898156294,0.9945678739240523,0.9930615236947167,0.016774755601494485
persona_v2,harm_v2,16,0.381,-0.04856336400223544,0.9936594822154706,0.9941343887428892,-0.04886157070681307
persona_v2,harm_v2,17,0.4048,-0.033458105629747846,0.9931572404900226,0.99401460174449,-0.03367409705865651
persona_v2,harm_v2,18,0.4286,0.01237576836621649,0.9937347110454449,0.9926480584286335,0.01246060971552753
persona_v2,harm_v2,19,0.4524,-0.00629441539523987,0.993521932214255,0.9922842579752864,-0.006339406784891857
persona_v2,harm_v2,20,0.4762,-0.08431295839672667,0.9935809768648288,0.9923648900278251,-0.08490963989465566
persona_v2,harm_v2,21,0.5,-0.03659086494855707,0.9935152034229274,0.9919111661420866,-0.03685946500067989
persona_v2,harm_v2,22,0.5238,-0.0856470234720571,0.9939355561394899,0.993048819352384,-0.08620805785607287
persona_v2,harm_v2,23,0.5476,-0.1859443255560634,0.9942900824582651,0.99256289860284,-0.18717479107614132
persona_v2,harm_v2,24,0.5714,-0.20918471442348197,0.9941937008237774,0.9936373224155062,-0.21046529626681482
persona_v2,harm_v2,25,0.5952,-0.20535636759535678,0.9945064323774623,0.9938618402055307,-0.20655768975775543
